Departamento	Poblacion	nuevos_t	nuevos_t1	nuevos_t2	nuevos_t3	nuevos_t4	nuevos_t5	nuevos_t6	nuevos_t7	activos_t	activos_t1	activos_t2	activos_t3	activos_t4	activos_t5	activos_t6	activos_t7	Hindex
AR	72960	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0
CA	514550	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0.072879215
CL	84064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO	121462	0	5	1	0	5	1	0	0	1	1	1	1	1	1	1	1	1.234954142
DU	56789	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FS	24761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FD	66582	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
LA	58395	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0.214059423
MA	160776	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0.077747923
MO	1278268	5	17	2	9	5	5	1	5	1	1	1	1	1	1	1	1	0.479163994
PA	112454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN	54118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RV	102773	3	6	3	2	2	0	9	7	1	1	1	1	1	1	1	1	3.892072821
RO	66506	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
SA	123880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SJ	105402	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0.592967875
SO	81510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TA	89567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT	47741	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.261829455
