Año;Departamento;P_gobierno;P_ganador;V_FA;V_PN;V_PC;Votos_Pgob;Votos_PGanador;Turnout_Dep;Turnout_Nac;Incumbente;Alternancia_Nac;Congruencia_DEP_NAC;Alineamiento;Competitividad;Sin_Instruccion;Primaria;Secundaria;Terciaria;Ruralidad;IDH;Informalidad;Ingreso;Funcionarios
2000;ARTIGAS;PC;PC;0,150113723;0,255475529;0,571392469;0,571392469;0,571392469;0,881979271;0,919588015;0;0;1;1;0,31591694;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;CANELONES;PC;PC;0,386350948;0,128241292;0,439291433;0,439291433;0,439291433;0,899958352;0,929901842;1;0;0;1;0,052940485;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;CERRO LARGO;PN;PN;0,184908616;0,663846823;0,120087032;0,663846823;0,663846823;0,905608626;0,926498024;0;0;1;0;0,478938207;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;COLONIA;PN;PN;0,163520585;0,41197343;0,365881341;0,41197343;0,41197343;0,894682272;0,927001427;1;0;0;0;0,046092089;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;DURAZNO;PN;PN;0,118817302;0,514014549;0,324094595;0,514014549;0,514014549;0,897797233;0,929693009;0;0;1;0;0,189919954;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;FLORES;PN;PN;0,075457317;0,790995209;0,106108449;0,790995209;0,790995209;0,904382078;0,934161675;1;0;1;0;0,68488676;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;FLORIDA;PC;PN;0,216487589;0,384261847;0,362710391;0,362710391;0,384261847;0,90851468;0,931701055;1;0;0;0;0,021551456;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;LAVALLEJA;PN;PN;0,116916641;0,516311362;0,322243981;0,516311362;0,516311362;0,908682816;0,937275513;0;0;0;0;0,194067382;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;MALDONADO;PN;PN;0,336158127;0,373172928;0,254774055;0,373172928;0,373172928;0,908617886;0,930682525;0;0;0;0;0,037014801;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;MONTEVIDEO;FA;FA;0,563585355;0,113393039;0,271837898;0,563585355;0,563585355;0,86843256;0,908031349;1;0;1;0;0,291747457;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;PAYSANDÚ;PN;PN;0,363881882;0,420377276;0,182276815;0,420377276;0,420377276;0,8765622;0,912953731;0;0;0;0;0,056495394;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;RÍO NEGRO;PC;PC;0,214154139;0,329609602;0,399994058;0,399994058;0,399994058;0,883992121;0,918750495;0;0;1;1;0,070384455;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;RIVERA;PC;PC;0,112623762;0,392401288;0,457026124;0,457026124;0,457026124;0,874915201;0,907740166;0;0;1;1;0,064624836;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;ROCHA;PN;PN;0,156664939;0,44140516;0,36486702;0,44140516;0,44140516;0,900809971;0,927472567;1;0;0;0;0,076538139;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;SALTO;PC;PC;0,201027311;0,351152415;0,403021036;0,403021036;0,403021036;0,875466494;0,911600475;1;0;1;1;0,051868621;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;SAN JOSÉ;PN;PN;0,198949698;0,70585302;0,061303996;0,70585302;0,70585302;0,904467935;0,931092532;1;0;1;0;0,506903322;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;SORIANO ;PN;PN;0,225503402;0,388491693;0,355835319;0,388491693;0,388491693;0,891876906;0,923887316;1;0;0;0;0,032656374;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;TACUAREMBÓ;PN;PN;0,140994776;0,698930543;0,134640266;0,698930543;0,698930543;0,900907414;0,927631384;1;0;1;0;0,557935767;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;TREINTA Y TRES;PN;PN;0,136917413;0,557667555;0,274643039;0,557667555;0,557667555;0,909009279;0,937089356;0;0;1;0;0,283024516;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;ARTIGAS;PC;PN;0,353008926;0,397885731;0,224116655;0,224116655;0,397885731;0,871315162;0,913424352;1;1;1;0;0,044876805;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;CANELONES;PC;FA;0,612046536;0,264527123;0,06349857;0,06349857;0,612046536;0,885479695;0,910319774;0;1;1;1;0,347519412;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;CERRO LARGO;PN;PN;0,339097668;0,575883996;0,06197221;0,575883996;0,575883996;0,902830934;0,921204308;1;1;1;0;0,236786327;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;COLONIA;PN;PN;0,335728654;0,550098255;0,07754561;0,550098255;0,550098255;0,899788043;0,917065341;0;1;1;0;0,2143696;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;DURAZNO;PN;PN;0,307394473;0,575690859;0,075336573;0,575690859;0,575690859;0,887900236;0,914642889;1;1;1;0;0,268296386;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;FLORES;PN;PN;0,178011032;0,728913404;0,070422535;0,728913404;0,728913404;0,885647885;0,905970717;0;1;1;0;0,550902372;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;FLORIDA;PN;PN;0,415189975;0,407707625;0,144236378;0,407707625;0,407707625;0,8959148;0,912673133;1;1;1;1;0,00748235;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;LAVALLEJA;PN;PN;0,20332478;0,689545911;0,066183198;0,689545911;0,689545911;0,906049088;0,931265428;1;1;1;0;0,486221131;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;MALDONADO;PN;FA;0,473334995;0,455599859;0,02894939;0,455599859;0,473334995;0,893012129;0,908755572;0;1;1;1;0,017735136;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;MONTEVIDEO;FA;FA;0,584733006;0,099471793;0,258798726;0,584733006;0,584733006;0,84474042;0,876360445;0;1;1;1;0,32593428;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;PAYSANDÚ;PN;FA;0,474208982;0,433254265;0,059890913;0,433254265;0,474208982;0,867178784;0,898946855;0;1;0;1;0,040954717;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;RÍO NEGRO;PC;PN;0,401994518;0,498542019;0,069224937;0,069224937;0,498542019;0,877039538;0,918418085;0;1;1;0;0,096547501;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;RIVERA;PC;PC;0,206300113;0,262646399;0,500447076;0,500447076;0,500447076;0,863731895;0,901347284;1;1;0;0;0,237800677;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;ROCHA;PN;FA;0,49354534;0,370985516;0,08967648;0,370985516;0,49354534;0,896716018;0,920207418;1;1;1;1;0,122559824;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;SALTO;PC;FA;0,390627984;0,363334309;0,212429824;0,212429824;0,390627984;0,863504452;0,895631415;0;1;1;1;0,027293674;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;SAN JOSÉ;PN;PN;0,336149868;0,595245971;0,028175367;0,595245971;0,595245971;0,905196113;0,926773083;1;1;1;0;0,259096103;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;SORIANO ;PN;PN;0,343229299;0,520561617;0,092954411;0,520561617;0,520561617;0,88699997;0,914322882;0;1;0;0;0,177332318;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;TACUAREMBÓ;PN;PN;0,216799164;0,71410699;0,044420866;0,71410699;0,71410699;0,883964443;0,912626666;0;1;1;0;0,497307826;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;TREINTA Y TRES;PN;FA;0,446886664;0,435156111;0,089223295;0,435156111;0,446886664;0,904167559;0,928802589;1;1;0;1;0,011730553;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;ARTIGAS;PN;FA;0,447381457;0,39810173;0,094794618;0,39810173;0,447381457;0,86277225;0,904945197;1;0;0;1;0,049279727;2,936086412;51,78731276;36,94973245;8,326868373;6,7319;0,727;46,2;5419,1;21,7
2010;CANELONES;FA;FA;0,52488816;0,228188432;0,095266903;0,52488816;0,52488816;0,876652105;0,909802234;1;0;1;1;0,296699728;1,790469282;42,76415626;43,81464125;11,63073321;10,3467;0,758;33,7;6564,1;8,2
2010;CERRO LARGO;PN;PN;0,354316814;0,492718727;0,075847283;0,492718727;0,492718727;0,897950419;0,923289216;0;0;1;0;0,138401913;3,589917527;50,96754615;37,60398443;7,838551894;10,1507;0,72;50,3;5282,8;15,2
2010;COLONIA;PN;PN;0,305623308;0,511882119;0,100505717;0,511882119;0,511882119;0,895966157;0,92346729;1;0;0;0;0,206258811;1,398513148;46,05571107;43,05447203;9,491303749;12,1254;0,784;29,5;7921,7;12,3
2010;DURAZNO;PN;PN;0,263761966;0,609890772;0,06421045;0,609890772;0,609890772;0,895513042;0,928271139;0;0;1;0;0,346128807;1,656715361;49,84070045;41,25268449;7,2498997;8,3598;0,744;36,6;6800;24,2
2010;FLORES;PN;PN;0,235104837;0,595754619;0,102397758;0,595754619;0,595754619;0,892078337;0,924816228;1;0;1;0;0,360649782;3,447219243;41,98713038;44,44614677;10,1195036;8,6995;0,778;33,9;5888,5;23,5
2010;FLORIDA;PN;PN;0,417376729;0,422405364;0,102807655;0,422405364;0,422405364;0,905825787;0,929692586;1;0;0;0;0,005028635;3,097675411;52,03312718;36,34925713;8,519940286;13,2764;0,756;34;7991;15,4
2010;LAVALLEJA;PN;PN;0,320408208;0,529350958;0,085842479;0,529350958;0,529350958;0,901961951;0,930561347;0;0;1;0;0,20894275;3,798997558;47,24842565;41,10782676;7,844750033;12,7383;0,754;36,6;6957,9;23,6
2010;MALDONADO;FA;FA;0,479729984;0,305180011;0,126562853;0,479729984;0,479729984;0,881928991;0,909967953;1;0;1;1;0,174549974;1,006880512;36,39403043;51,28307006;11,316019;2,9505;0,783;31;8316,2;18,4
2010;MONTEVIDEO;FA;FA;0,458994447;0,197943131;0,181035292;0,458994447;0,458994447;0,833452487;0,876998747;0;0;1;1;0,261051316;0,785388988;27,06493094;47,03830507;25,111375;0,0000;0,823;24,6;9483,2;6,5
2010;PAYSANDÚ;FA;PN;0,42241579;0,439412264;0,076644965;0,42241579;0,439412264;0,864499911;0,905831447;1;0;0;0;0,016996475;1,475564284;48,72546808;39,64119372;10,15777392;5,4344;0,757;31;7006,2;16,5
2010;RÍO NEGRO;PN;PN;0,367657881;0,423723732;0,154978331;0,423723732;0,423723732;0,873443638;0,911306299;1;0;0;0;0,056065851;3,297140236;45,45649182;43,35831167;7,888056278;11,3671;0,776;28,2;6521;27,3
2010;RIVERA;PC;PC;0,212987304;0,247469098;0,48473069;0,48473069;0,48473069;0,870214889;0,900056183;0;0;0;0;0,237261592;4,38016783;49,94620847;35,765223;9,908400701;10,2030;0,739;51,1;5997;9,8
2010;ROCHA;FA;FA;0,524805542;0,301052591;0,077570527;0,524805542;0,524805542;0,889076208;0,920537098;1;0;1;1;0,223752951;3,454300889;45,99448088;42,53740657;8,013811656;4,3066;0,745;42,3;9481,3;25,3
2010;SALTO;FA;PC;0,403315777;0,124503232;0,419284175;0,403315777;0,419284175;0,857541727;0,891520284;1;0;0;0;0,015968398;2,089765846;48,89018459;39,40871685;9,611332706;7,3985;0,747;38,7;5668,8;14,8
2010;SAN JOSÉ;PN;PN;0,324152119;0,558715963;0,038986828;0,558715963;0,558715963;0,90437861;0,929866505;0;0;0;0;0,234563845;1,623755684;48,94617181;42,07785425;7,352218262;12,4365;0,755;30;6608,4;7,2
2010;SORIANO ;PN;PN;0,318928967;0,538663492;0,060759246;0,538663492;0,538663492;0,885251108;0,91600029;1;0;0;0;0,219734525;1,559220881;43,71229014;45,65024921;9,078239769;8,9097;0,755;39,9;7981,8;20,1
2010;TACUAREMBÓ;PN;PN;0,232313241;0,672576203;0,051283612;0,672576203;0,672576203;0,89326446;0,927483624;1;0;1;0;0,440262962;3,235787031;55,46695151;32,88274186;8,414519604;15,2484;0,736;40,7;5559,1;16,4
2010;TREINTA Y TRES;FA;PN;0,407558592;0,497112074;0,053287793;0,407558592;0,497112074;0,908774321;0,935866623;1;0;1;0;0,089553482;3,259077241;41,79895891;42,85298587;12,08897798;10,3193;0,751;34,1;6199,9;23,4
2015;ARTIGAS;FA;PN;0,346003823;0,487498537;0,125697234;0,346003823;0,487498537;0,875396125;0,894762692;1;0;0;0;0,141494715;1,298642839;40,72832032;46,67912043;11,29391641;4,8018;0,765;44,2;6675,9;21,3
2015;CANELONES;FA;FA;0,507173679;0,246530001;0,082847832;0,507173679;0,507173679;0,891865331;0,912970928;0;0;1;1;0,260643678;0,8132638;35,76613643;48,477569;14,94303077;10,5086;0,788;27,4;8752,5;7,7
2015;CERRO LARGO;PN;PN;0,330781402;0,603449103;0,029967874;0,603449103;0,603449103;0,912377027;0,921792842;1;0;0;0;0,2726677;2,23377984;47,71757839;41,35673127;8,691910499;8,5430;0,754;44,5;5941;15,2
2015;COLONIA;PN;PN;0,369754382;0,53525441;0,033876;0,53525441;0,53525441;0,901693531;0,918653917;0;0;0;0;0,165500028;0,652097499;39,37190163;48,62368641;11,35231446;11,4743;0,8;24,5;8593,1;12,7
2015;DURAZNO;PN;PN;0,260448615;0,628725109;0,046761273;0,628725109;0,628725109;0,914066844;0,929373169;0;0;1;0;0,368276493;2,036879433;40,16170213;47,9858156;9,815602837;10,7048;0,773;31,5;7332,2;23,4
2015;FLORES;PN;PN;0,113003327;0,790526786;0,055756914;0,790526786;0,790526786;0,912110166;0,927898698;0;0;1;0;0,67752346;1,432473445;34,08801214;51,84218513;12,63732929;11,8440;0,8;25,2;9189,7;27,5
2015;FLORIDA;PN;PN;0,306932246;0,571086888;0,062833281;0,571086888;0,571086888;0,918223227;0,933694827;1;0;0;0;0,264154642;2,171545269;44,6925346;39,87746767;13,25845246;14,9972;0,797;27,4;8803,6;14,9
2015;LAVALLEJA;PN;PN;0,333683542;0,535491496;0,068991179;0,535491496;0,535491496;0,909159949;0,926808395;1;0;1;0;0,201807954;1,830587024;40,23171988;45,38619979;12,55149331;10,1410;0,784;29,6;8237,2;24
2015;MALDONADO;FA;PN;0,397614583;0,456835311;0,073176229;0,397614583;0,456835311;0,897809432;0,913791907;0;0;0;0;0,059220728;0,806524043;28,7268057;56,99825762;13,46841264;3,3009;0,799;26,2;8992,7;16,5
2015;MONTEVIDEO;FA;FA;0,511995531;0;0;0,511995531;0,511995531;0,859702944;0,889463299;0;0;1;1;0,511995531;0,521497019;22,33119175;48,22279598;28,92451525;0,000;0,841;16,7;11828,3;6,7
2015;PAYSANDÚ;PN;FA;0,448411703;0,431361971;0,052203041;0,431361971;0,448411703;0,888441005;0,911404193;1;0;1;1;0,017049732;1,365091453;41,02748516;45,81376655;11,79365684;4,9427;0,783;29,5;7416,4;17,5
2015;RÍO NEGRO;PN;FA;0,427301023;0,421102189;0,08654827;0,421102189;0,427301023;0,882871452;0,903476282;0;0;1;1;0,006198833;0,95240921;33,72003323;53,15392832;12,17362924;11,5357;0,792;28,5;7802,9;29
2015;RIVERA;PC;PC;0,190394651;0,191277995;0,561317678;0,561317678;0,561317678;0,874166229;0,903592169;1;0;0;0;0,370039683;2,067122534;46,88988446;40,45272341;8,10253786;8,6455;0,756;42,4;6289,4;9,5
2015;ROCHA;FA;FA;0,45717547;0,419231678;0,033240179;0,45717547;0,45717547;0,896465903;0,915382572;0;0;1;1;0,037943793;40,1033658;48,43669913;1,00803007;10,17514775;7,9615;0,766;34,4;7666,2;23,8
2015;SALTO;PC;FA;0,454307446;0,064199788;0,437346243;0,437346243;0,454307446;0,882178423;0,898177571;1;0;1;1;0,016961203;36,58416697;47,80465771;1,683206462;13,50818563;7,3592;0,774;32,6;7210,1;13,1
2015;SAN JOSÉ;PN;PN;0,306142873;0,569646482;0,018831755;0,569646482;0,569646482;0,913927143;0,931404734;1;0;0;0;0,263503608;43,63086322;46,64140747;1,13960114;8,712167096;14,3426;0,775;24,5;8800,1;7,2
2015;SORIANO ;PN;PN;0,226757844;0,628318584;0,084424779;0,628318584;0,628318584;0,900809265;0,920280425;0;0;0;0;0,40156074;39,19386021;47,90360693;1,372859179;12,33340904;9,2382;0,786;32,9;8400,8;19,7
2015;TACUAREMBÓ;PN;PN;0,298757235;0,583157611;0,065054511;0,583157611;0,583157611;0,900966498;0,922610668;0;0;1;0;0,284400377;47,45762712;39,7371445;1,129345016;11,22548853;12,6132;0,76;37,7;6587,9;15,9
2015;TREINTA Y TRES;PN;PN;0,293349873;0,638854431;0,019119789;0,638854431;0,638854431;0,912280702;0,930287067;1;0;1;0;0,345504557;42,6373839;44,83036636;0,803018576;11,12805496;6,9193;0,763;29,4;7408,3;23,3
2020;ARTIGAS;PN;PN;0,20125496;0,644200424;0,058466365;0,644200424;0,644200424;0,859588172;0,897360145;1;1;1;1;0,442945465;1,829671056;41,51657933;46,10066493;10,55308468;7,469;0,778;42,4;6154,8;20,3
2020;CANELONES;FA;FA;0,514560168;0,257274373;0,042392676;0,514560168;0,514560168;0,857157543;0,904314931;1;1;1;0;0,257285795;0,6611605;33,24092153;49,73340726;16,36451071;9,854;0,795;26,6;8888,3;7,8
2020;CERRO LARGO;PN;PN;0,123963535;0,816711714;0,009956175;0,816711714;0,816711714;0,894301282;0,921284471;0;1;1;1;0,692748179;1,745268796;42,88501446;45,63416754;9,73554921;6,997;0,765;43,8;5976,5;16,4
2020;COLONIA;PN;PN;0,321843666;0,467665768;0,065401617;0,467665768;0,467665768;0,872300805;0,915528407;1;1;0;1;0,145822102;0,774381368;40,00232897;48,53100437;10,6922853;10,274;0,813;21,6;8244,8;11,5
2020;DURAZNO;PN;PN;0,215355095;0,491398737;0,109596377;0,491398737;0,491398737;0,889901517;0,925958257;1;1;1;1;0,276043642;0,860348075;40,81873647;47,48221666;10,83869879;8,405;0,784;29,6;7015,1;23,7
2020;FLORES;PN;PN;0,208955224;0,500823641;0,181300854;0,500823641;0,500823641;0,888854379;0,926139802;1;1;1;1;0,291868417;1,317309914;30,85278484;52,94083661;14,88906864;10,076;0,8;27,7;8570,4;25,1
2020;FLORIDA;PN;PN;0,317171051;0,486962254;0,08136717;0,486962254;0,486962254;0,891309983;0,9243102;0;1;1;1;0,169791202;1,34303687;41,24385876;44,12966619;13,28343818;18,070;0,802;24,6;8024,6;16,5
2020;LAVALLEJA;PN;PN;0,205188056;0,537963534;0,104487801;0,537963534;0,537963534;0,881136249;0,926064059;0;1;1;1;0,332775478;1,411572254;40,09392892;45,91963273;12,5748661;15,223;0,788;29,7;7731,7;24,6
2020;MALDONADO;PN;PN;0,25539925;0,557192954;0,045628603;0,557192954;0,557192954;0,878823088;0,911126514;1;1;1;1;0,301793704;0,518143144;27,15330367;58,23294479;14,09560839;4,013;0,812;25;8994;16,3
2020;MONTEVIDEO;FA;FA;0,52055277;0;0;0,52055277;0,52055277;0,84238892;0,885350574;1;1;1;0;0,52055277;0,53672551;19,82701795;48,58439321;31,05186332;0,000;0,854;17,5;11891,4;6,7
2020;PAYSANDÚ;FA;PN;0,399906077;0,484653269;0,038616687;0,399906077;0,484653269;0,870650522;0,90293253;1;1;0;1;0,084747191;1,39414122;38,7128182;47,11576452;12,77727606;5,440;0,792;27,3;7226;16,4
2020;RÍO NEGRO;FA;PN;0,404532353;0,448688003;0,061922274;0,404532353;0,448688003;0,86453276;0,900656991;1;1;0;1;0,044155651;1,601744186;34,48255814;52,73546512;11,18023256;11,989;0,799;29,9;7189,5;31,2
2020;RIVERA;PC;PC;0,08854972;0,235297254;0,560983738;0,560983738;0,560983738;0,842684639;0,913540539;0;1;1;0;0,325686484;1,78197065;43,1273357;44,57053444;10,52015921;8,205;0,767;42,8;5804,6;10,9
2020;ROCHA;FA;PN;0,414869497;0,43837629;0,028930042;0,414869497;0,43837629;0,877117903;0,889932268;1;1;0;1;0,023506793;1,730777369;35,70733359;50,05078075;12,51110829;6,132;0,775;32,5;7719,6;22,2
2020;SALTO;FA;FA;0,405030034;0,353301573;0,19629561;0,405030034;0,405030034;0,883377151;0,909037525;1;1;1;0;0,051728461;2,054941314;37,05197867;45,0902031;15,80287692;7,168;0,782;35,5;7054,4;13,4
2020;SAN JOSÉ;PN;PN;0,320019737;0,482383378;0,029205452;0,482383378;0,482383378;0,886883501;0,927783147;0;1;0;1;0,162363641;1,001633681;41,98291331;48,30070436;8,714748655;13,916;0,788;27,8;7753,5;7,5
2020;SORIANO ;PN;PN;0,23637828;0,540857417;0,09714091;0,540857417;0,540857417;0,869798332;0,910754623;0;1;0;1;0,304479138;1,099010492;36,66354749;51,96408306;10,27335895;9,205;0,793;38,9;7778,1;20,3
2020;TACUAREMBÓ;PN;PN;0,172932547;0,571077233;0,075291241;0,571077233;0,571077233;0,88041634;0,916943858;0;1;1;1;0,398144686;2,503566582;47,09280072;40,09882042;10,30481228;13,138;0,778;34,4;6222,2;17,1
2020;TREINTA Y TRES;PN;PN;0,190501333;0,699543283;0,026347052;0,699543283;0,699543283;0,88355765;0,918070875;0;1;1;1;0,509041949;1,168363352;37,69772905;49,61628818;11,51761942;6,542;0,777;31,3;6569,9;26,3
